DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3676151.3722006,"Aguiar, Nayara, Chigirinskaya, Helen, Chen, Jie, Najarian, Anoush",Henry,,,,,No,No,No,,,ACM,,,Accelerating Model Optimization on the Edge Through Automated Performance Benchmarking and End-to-End Profiling,https://doi.org/10.1145/3676151.3722006,Proceedings of the 16th ACM/SPEC International Conference on Performance Engineering,,2025
10.1145/3301275.3302302,"Watson, Katie, Sohn, Samuel S., Schriber, Sasha, Gross, Markus, Muniz, Carlos Manuel, Kapadia, Mubbasir","Alex, Henry",,,,,Yes,Yes,No,,,ACM,Exclude - Other,,StoryPrint: an interactive visualization of stories,https://doi.org/10.1145/3301275.3302302,Proceedings of the 24th International Conference on Intelligent User Interfaces,,2019
10.1145/2556288.2557296,"Andrews, Daniel, Baber, Chris",Henry,,,,,No,No,No,,,ACM,,,Visualizing interactive narratives: employing a branching comic to tell a story and show its readings,https://doi.org/10.1145/2556288.2557296,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2014
10.1145/3379177.3388900,"Mayr-Dorn, Christoph, Tuder, Johann, Egyed, Alexander",Henry,,,,,No,No,No,,,ACM,,,Process Inspection Support: an Industrial Case Study,https://doi.org/10.1145/3379177.3388900,Proceedings of the International Conference on Software and System Processes,,2020
10.1145/3647640,"Jord\~{a}o, Rodolfo, Becker, Matthias, Sander, Ingo",Henry,,,,,No,No,No,,,ACM,,,IDeSyDe: Systematic Design Space Exploration via Design Space Identification,https://doi.org/10.1145/3647640,ACM Trans. Des. Autom. Electron. Syst.,,2024
10.1145/3710969,"Chow, Kevin, Rutishauser, Roy, Meyer, Andr\'{e} N, McGrenere, Joanna, Fritz, Thomas",Henry,,,,,No,No,No,,,ACM,,,Exploring a Real-time Feedback Display of Non-verbal Cues in Online Work Meetings to Support Self-Presentation,https://doi.org/10.1145/3710969,Proc. ACM Hum.-Comput. Interact.,,2025
10.1145/3671151.3671302,"Yu, Shasha, Chen, Yijun, Chen, Xingyu",Henry,,,,,No,No,No,,,ACM,,,Retrospection and prospect of evolutionary and hotspots in digital education by bibliometrics analysis,https://doi.org/10.1145/3671151.3671302,Proceedings of the 5th International Conference on Computer Information and Big Data Applications,,2024
10.1145/3397271.3401407,"Narvala, Hitarth, McDonald, Graham, Ounis, Iadh",Henry,,,,,No,No,No,,,ACM,,,Receptor: A Platform for Exploring Latent Relations in Sensitive Documents,https://doi.org/10.1145/3397271.3401407,Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,,2020
10.1145/3624062.3624205,"Th\{a}rigen, Isabel, Hermanns, Marc-Andr\'{e}, Geimer, Markus",Henry,,,,,No,No,No,,,ACM,,,An Event Model for Trace-Based Performance Analysis of MPI Partitioned Point-to-Point Communication,https://doi.org/10.1145/3624062.3624205,"Proceedings of the SC '23 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis",,2023
10.1145/3542929.3563488,"Davidson, Thomas, Mace, Jonathan",Henry,,,,,No,No,No,,,ACM,,,See it to believe it? the role of visualisation in systems research,https://doi.org/10.1145/3542929.3563488,Proceedings of the 13th Symposium on Cloud Computing,,2022
10.1145/3278471.3278472,"Knorr, Sebastian, Ozcinar, Cagri, Fearghail, Colm O, Smolic, Aljosa",Henry,,,,,No,No,No,,,ACM,,,Director's cut: a combined dataset for visual attention analysis in cinematic VR content,https://doi.org/10.1145/3278471.3278472,Proceedings of the 15th ACM SIGGRAPH European Conference on Visual Media Production,,2018
10.1145/3449726.3463144,"Dufek, Amanda S., Augusto, Douglas A., Barbosa, Helio J. C., Dias, Pedro L. S., Deslippe, Jack R.",Henry,,,,,No,No,No,,,ACM,,,An efficient fault-tolerant communication algorithm for population-based metaheuristics,https://doi.org/10.1145/3449726.3463144,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,2021
10.1145/3661904.3661914,"Li, Fanbo, Zhang, Hongfeng, Chan, Ka Ip, Wong, Cora Un In, Chan, Kam Leng, Chen, Xiaolong",Henry,,,,,No,No,No,,,ACM,,,Visualization of Hotspots and Frontiers in Online Gamified Learning----Based on Citespace Knowledge Map Analysis,https://doi.org/10.1145/3661904.3661914,Proceedings of the 2024 10th International Conference on Education and Training Technologies,,2024
10.1145/3627377.3627404,"Qi, Yunlong, Sun, Yan",Henry,,,,,No,No,No,,,ACM,,,Visualization and Bibliometric Analysis of Research Evolution on Digital Human,https://doi.org/10.1145/3627377.3627404,Proceedings of the 2023 6th International Conference on Big Data Technologies,,2023
10.1145/3313831.3376237,"Di Bartolomeo, Sara, Pandey, Aditeya, Leventidis, Aristotelis, Saffo, David, Syeda, Uzma Haque, Carstensdottir, Elin, Seif El-Nasr, Magy, Borkin, Michelle A., Dunne, Cody",Henry,,,,,No,No,No,,,ACM,,,Evaluating the Effect of Timeline Shape on Visualization Task Performance,https://doi.org/10.1145/3313831.3376237,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,2020
10.1145/3371117,"Wang, Chenglong, Feng, Yu, Bodik, Rastislav, Cheung, Alvin, Dillig, Isil",Henry,,,,,No,No,No,,,ACM,,,Visualization by example,https://doi.org/10.1145/3371117,Proc. ACM Program. Lang.,,2019
10.1145/3660043.3660192,"Mo, Xingsheng, Shi, Zhan, Zou, Quanyu, Yang, Zhengzheng",Henry,,,,,No,No,No,,,ACM,,,Breaststroke Training in Adolescents: A Scientometric Analysis,https://doi.org/10.1145/3660043.3660192,Proceedings of the 2023 International Conference on Information Education and Artificial Intelligence,,2024
10.1145/3613372.3613419,"Silva, Marcos, Nunes, Maykon, Bezerra, Carla, Uch\^{o}a, Anderson, Wessel, Mairieli",Henry,,,,,No,No,No,,,ACM,,,CIRef: A Tool for Visualizing the Historical Data of Software Refactorings in Java Projects,https://doi.org/10.1145/3613372.3613419,Proceedings of the XXXVII Brazilian Symposium on Software Engineering,,2023
10.1145/3562939.3565612,"Fouch\'{e}, Gwendal, Argelaguet Sanz, Ferran, Faure, Emmanuel, Kervrann, Charles",Henry,,,,,No,No,No,,,ACM,,,Timeline Design Space for Immersive Exploration of Time-Varying Spatial 3D Data,https://doi.org/10.1145/3562939.3565612,Proceedings of the 28th ACM Symposium on Virtual Reality Software and Technology,,2022
